Location,,,Location,Location,Skip,Location,Date,Temperature,Temperature,Temperature,Dew point,Dew point,Dew point,Humidity,Humidity,Humidity,Wind Speed,Wind Speed,Wind Speed,Pressure,Pressure,Pressure,Precipitation
Station,latitude,longitude,Borough,City,State,ZipCode,WDate,Temperature_Max,Temperature_Avg,Temperature_Min,Dewpot_Max,Dewpot_Avg,Dewpot_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wdspeed_Max,Wdspeed_Avg,Wdspeed_Min,Pressure_Max,Pressure_Min,Pressure_Avg,Precipitation_Total
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/23/16,71.1,57.4,48.1,35.7,31.2,28.7,53,38,21,23,7.6,0,30.07,29.91,30,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/24/16,52.3,45.3,41.4,41.3,35.9,30.8,96,70,52,27.5,9.7,0,30.15,29.87,30,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/25/16,72.5,56.4,42.3,58.2,46.1,32.4,96,71,37,23.7,5.8,0,30.06,29.69,29.9,0.03
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/26/16,51.8,43.3,36.5,35.5,30,24.1,80,59,43,22.1,6.5,0,30.42,30.06,30.2,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/27/16,53.5,44.7,40.5,36.6,34.6,33.5,80,68,51,16.6,5.6,0,30.44,30.17,30.3,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/28/16,61.8,46.8,40.3,47.6,38.7,28.3,95,76,38,76.1,12.2,0,30.17,29.5,29.8,0.56
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/29/16,52.5,46.5,39.9,28.8,18.8,8.2,53,34,19,52.1,14.9,2.7,30.24,29.67,30,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/30/16,53.7,44.2,34.4,34.6,18.7,8.3,64,37,18,29.1,7.1,0,30.4,30.14,30.3,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/31/16,70,58.7,47.5,52.6,42.9,23.3,84,57,36,28.4,9.5,0,30.17,29.78,30,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/1/16,78.5,63,56.8,59.7,54.8,44.2,93,76,45,29.8,7.1,0,29.8,29.45,29.6,0.04
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/2/16,60,52.1,47,45.9,42.6,36.7,89,70,50,28.2,5.7,0,29.68,29.28,29.5,0.21
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/3/16,50,37.4,33,44.5,16.3,3.1,92,46,23,59.5,13.8,0,30.06,29.23,29.6,0.31
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/4/16,41.7,35.9,29.1,40,27.2,10.9,94,73,36,14.8,5.4,0,30.09,29.81,30,0.61
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/5/16,41.8,32.4,24.5,21.3,8.5,-0.9,73,39,18,23.7,7.6,0,30.41,30.07,30.2,0
